,Length,Frequency,Path,Part&under10,Part&10to30,Part&over30,NonPart&under10,NonPart&10to30,NonPart&over30,p
10,7,12,"(('exit', ('W_Call incomplete files|schedule', 'W_Call incomplete files|start')), ('enter', ('W_Call incomplete files|start', 'A_Incomplete')), ('exit', ('A_Incomplete', 'W_Call incomplete files|suspend')), ('enter', ('W_Call incomplete files|suspend', 'W_Call incomplete files|resume')), ('exit', ('W_Call incomplete files|resume', 'W_Call incomplete files|suspend')), ('exit', ('W_Call incomplete files|suspend', 'W_Call incomplete files|resume')), ('enter', ('W_Call incomplete files|resume', 'W_Call incomplete files|suspend')))",201,800,258,738,2997,1471,1.643139964091489e-07
11,7,12,"(('exit', ('W_Call incomplete files|schedule', 'W_Call incomplete files|start')), ('enter', ('W_Call incomplete files|start', 'A_Incomplete')), ('exit', ('A_Incomplete', 'W_Call incomplete files|suspend')), ('exit', ('W_Call incomplete files|suspend', 'W_Call incomplete files|resume')), ('enter', ('W_Call incomplete files|resume', 'W_Call incomplete files|suspend')), ('enter', ('W_Call incomplete files|suspend', 'W_Call incomplete files|resume')), ('exit', ('W_Call incomplete files|resume', 'W_Call incomplete files|suspend')))",201,800,258,738,2997,1471,1.643139964091489e-07
12,7,12,"(('exit', ('W_Call incomplete files|schedule', 'W_Call incomplete files|start')), ('enter', ('W_Call incomplete files|start', 'A_Incomplete')), ('exit', ('A_Incomplete', 'W_Call incomplete files|suspend')), ('exit', ('W_Call incomplete files|suspend', 'W_Call incomplete files|resume')), ('exit', ('W_Call incomplete files|resume', 'W_Call incomplete files|suspend')), ('enter', ('W_Call incomplete files|suspend', 'W_Call incomplete files|resume')), ('enter', ('W_Call incomplete files|resume', 'W_Call incomplete files|suspend')))",201,800,258,738,2997,1471,1.643139964091489e-07
13,7,12,"(('exit', ('W_Call incomplete files|schedule', 'W_Call incomplete files|start')), ('exit', ('W_Call incomplete files|start', 'A_Incomplete')), ('enter', ('A_Incomplete', 'W_Call incomplete files|suspend')), ('enter', ('W_Call incomplete files|suspend', 'W_Call incomplete files|resume')), ('enter', ('W_Call incomplete files|resume', 'W_Call incomplete files|suspend')), ('exit', ('W_Call incomplete files|suspend', 'W_Call incomplete files|resume')), ('exit', ('W_Call incomplete files|resume', 'W_Call incomplete files|suspend')))",201,800,258,738,2997,1471,1.643139964091489e-07
14,7,12,"(('exit', ('W_Call incomplete files|schedule', 'W_Call incomplete files|start')), ('exit', ('W_Call incomplete files|start', 'A_Incomplete')), ('enter', ('A_Incomplete', 'W_Call incomplete files|suspend')), ('enter', ('W_Call incomplete files|suspend', 'W_Call incomplete files|resume')), ('exit', ('W_Call incomplete files|resume', 'W_Call incomplete files|suspend')), ('exit', ('W_Call incomplete files|suspend', 'W_Call incomplete files|resume')), ('enter', ('W_Call incomplete files|resume', 'W_Call incomplete files|suspend')))",201,800,258,738,2997,1471,1.643139964091489e-07
15,7,12,"(('exit', ('W_Call incomplete files|schedule', 'W_Call incomplete files|start')), ('exit', ('W_Call incomplete files|start', 'A_Incomplete')), ('enter', ('A_Incomplete', 'W_Call incomplete files|suspend')), ('exit', ('W_Call incomplete files|suspend', 'W_Call incomplete files|resume')), ('enter', ('W_Call incomplete files|resume', 'W_Call incomplete files|suspend')), ('enter', ('W_Call incomplete files|suspend', 'W_Call incomplete files|resume')), ('exit', ('W_Call incomplete files|resume', 'W_Call incomplete files|suspend')))",201,800,258,738,2997,1471,1.643139964091489e-07
16,7,12,"(('exit', ('W_Call incomplete files|schedule', 'W_Call incomplete files|start')), ('exit', ('W_Call incomplete files|start', 'A_Incomplete')), ('enter', ('A_Incomplete', 'W_Call incomplete files|suspend')), ('exit', ('W_Call incomplete files|suspend', 'W_Call incomplete files|resume')), ('exit', ('W_Call incomplete files|resume', 'W_Call incomplete files|suspend')), ('enter', ('W_Call incomplete files|suspend', 'W_Call incomplete files|resume')), ('enter', ('W_Call incomplete files|resume', 'W_Call incomplete files|suspend')))",201,800,258,738,2997,1471,1.643139964091489e-07
17,7,12,"(('exit', ('W_Call incomplete files|schedule', 'W_Call incomplete files|start')), ('exit', ('W_Call incomplete files|start', 'A_Incomplete')), ('exit', ('A_Incomplete', 'W_Call incomplete files|suspend')), ('enter', ('W_Call incomplete files|suspend', 'W_Call incomplete files|resume')), ('enter', ('W_Call incomplete files|resume', 'W_Call incomplete files|suspend')), ('exit', ('W_Call incomplete files|suspend', 'W_Call incomplete files|resume')), ('exit', ('W_Call incomplete files|resume', 'W_Call incomplete files|suspend')))",201,800,258,738,2997,1471,1.643139964091489e-07
18,7,12,"(('exit', ('W_Call incomplete files|schedule', 'W_Call incomplete files|start')), ('exit', ('W_Call incomplete files|start', 'A_Incomplete')), ('exit', ('A_Incomplete', 'W_Call incomplete files|suspend')), ('enter', ('W_Call incomplete files|suspend', 'W_Call incomplete files|resume')), ('exit', ('W_Call incomplete files|resume', 'W_Call incomplete files|suspend')), ('exit', ('W_Call incomplete files|suspend', 'W_Call incomplete files|resume')), ('enter', ('W_Call incomplete files|resume', 'W_Call incomplete files|suspend')))",201,800,258,738,2997,1471,1.643139964091489e-07
19,7,12,"(('exit', ('W_Call incomplete files|schedule', 'W_Call incomplete files|start')), ('exit', ('W_Call incomplete files|start', 'A_Incomplete')), ('exit', ('A_Incomplete', 'W_Call incomplete files|suspend')), ('exit', ('W_Call incomplete files|suspend', 'W_Call incomplete files|resume')), ('enter', ('W_Call incomplete files|resume', 'W_Call incomplete files|suspend')), ('enter', ('W_Call incomplete files|suspend', 'W_Call incomplete files|resume')), ('exit', ('W_Call incomplete files|resume', 'W_Call incomplete files|suspend')))",201,800,258,738,2997,1471,1.643139964091489e-07
20,7,12,"(('exit', ('W_Call incomplete files|schedule', 'W_Call incomplete files|start')), ('exit', ('W_Call incomplete files|start', 'A_Incomplete')), ('exit', ('A_Incomplete', 'W_Call incomplete files|suspend')), ('exit', ('W_Call incomplete files|suspend', 'W_Call incomplete files|resume')), ('exit', ('W_Call incomplete files|resume', 'W_Call incomplete files|suspend')), ('enter', ('W_Call incomplete files|suspend', 'W_Call incomplete files|resume')), ('enter', ('W_Call incomplete files|resume', 'W_Call incomplete files|suspend')))",201,800,258,738,2997,1471,1.643139964091489e-07
21,6,12,"(('exit', ('W_Call incomplete files|start', 'A_Incomplete')), ('enter', ('A_Incomplete', 'W_Call incomplete files|suspend')), ('enter', ('W_Call incomplete files|suspend', 'W_Call incomplete files|resume')), ('enter', ('W_Call incomplete files|resume', 'W_Call incomplete files|suspend')), ('exit', ('W_Call incomplete files|suspend', 'W_Call incomplete files|resume')), ('exit', ('W_Call incomplete files|resume', 'W_Call incomplete files|suspend')))",201,800,258,738,2997,1471,1.643139964091489e-07
22,6,12,"(('exit', ('W_Call incomplete files|start', 'A_Incomplete')), ('enter', ('A_Incomplete', 'W_Call incomplete files|suspend')), ('enter', ('W_Call incomplete files|suspend', 'W_Call incomplete files|resume')), ('exit', ('W_Call incomplete files|resume', 'W_Call incomplete files|suspend')), ('exit', ('W_Call incomplete files|suspend', 'W_Call incomplete files|resume')), ('enter', ('W_Call incomplete files|resume', 'W_Call incomplete files|suspend')))",201,800,258,738,2997,1471,1.643139964091489e-07
23,6,12,"(('exit', ('W_Call incomplete files|start', 'A_Incomplete')), ('enter', ('A_Incomplete', 'W_Call incomplete files|suspend')), ('exit', ('W_Call incomplete files|suspend', 'W_Call incomplete files|resume')), ('enter', ('W_Call incomplete files|resume', 'W_Call incomplete files|suspend')), ('enter', ('W_Call incomplete files|suspend', 'W_Call incomplete files|resume')), ('exit', ('W_Call incomplete files|resume', 'W_Call incomplete files|suspend')))",201,800,258,738,2997,1471,1.643139964091489e-07
24,6,12,"(('exit', ('W_Call incomplete files|start', 'A_Incomplete')), ('enter', ('A_Incomplete', 'W_Call incomplete files|suspend')), ('exit', ('W_Call incomplete files|suspend', 'W_Call incomplete files|resume')), ('exit', ('W_Call incomplete files|resume', 'W_Call incomplete files|suspend')), ('enter', ('W_Call incomplete files|suspend', 'W_Call incomplete files|resume')), ('enter', ('W_Call incomplete files|resume', 'W_Call incomplete files|suspend')))",201,800,258,738,2997,1471,1.643139964091489e-07
25,6,12,"(('exit', ('W_Call incomplete files|start', 'A_Incomplete')), ('exit', ('A_Incomplete', 'W_Call incomplete files|suspend')), ('enter', ('W_Call incomplete files|suspend', 'W_Call incomplete files|resume')), ('enter', ('W_Call incomplete files|resume', 'W_Call incomplete files|suspend')), ('exit', ('W_Call incomplete files|suspend', 'W_Call incomplete files|resume')), ('exit', ('W_Call incomplete files|resume', 'W_Call incomplete files|suspend')))",201,800,258,738,2997,1471,1.643139964091489e-07
26,6,12,"(('exit', ('W_Call incomplete files|start', 'A_Incomplete')), ('exit', ('A_Incomplete', 'W_Call incomplete files|suspend')), ('enter', ('W_Call incomplete files|suspend', 'W_Call incomplete files|resume')), ('exit', ('W_Call incomplete files|resume', 'W_Call incomplete files|suspend')), ('exit', ('W_Call incomplete files|suspend', 'W_Call incomplete files|resume')), ('enter', ('W_Call incomplete files|resume', 'W_Call incomplete files|suspend')))",201,800,258,738,2997,1471,1.643139964091489e-07
27,6,12,"(('exit', ('W_Call incomplete files|start', 'A_Incomplete')), ('exit', ('A_Incomplete', 'W_Call incomplete files|suspend')), ('exit', ('W_Call incomplete files|suspend', 'W_Call incomplete files|resume')), ('enter', ('W_Call incomplete files|resume', 'W_Call incomplete files|suspend')), ('enter', ('W_Call incomplete files|suspend', 'W_Call incomplete files|resume')), ('exit', ('W_Call incomplete files|resume', 'W_Call incomplete files|suspend')))",201,800,258,738,2997,1471,1.643139964091489e-07
28,6,12,"(('exit', ('W_Call incomplete files|start', 'A_Incomplete')), ('exit', ('A_Incomplete', 'W_Call incomplete files|suspend')), ('exit', ('W_Call incomplete files|suspend', 'W_Call incomplete files|resume')), ('exit', ('W_Call incomplete files|resume', 'W_Call incomplete files|suspend')), ('enter', ('W_Call incomplete files|suspend', 'W_Call incomplete files|resume')), ('enter', ('W_Call incomplete files|resume', 'W_Call incomplete files|suspend')))",201,800,258,738,2997,1471,1.643139964091489e-07
29,5,14,"(('exit', ('A_Incomplete', 'W_Call incomplete files|suspend')), ('enter', ('W_Call incomplete files|suspend', 'W_Call incomplete files|resume')), ('enter', ('W_Call incomplete files|resume', 'W_Call incomplete files|suspend')), ('exit', ('W_Call incomplete files|suspend', 'W_Call incomplete files|resume')), ('exit', ('W_Call incomplete files|resume', 'W_Call incomplete files|suspend')))",224,906,303,729,2948,1439,8.490005755090735e-07
30,5,14,"(('exit', ('A_Incomplete', 'W_Call incomplete files|suspend')), ('enter', ('W_Call incomplete files|suspend', 'W_Call incomplete files|resume')), ('exit', ('W_Call incomplete files|resume', 'W_Call incomplete files|suspend')), ('exit', ('W_Call incomplete files|suspend', 'W_Call incomplete files|resume')), ('enter', ('W_Call incomplete files|resume', 'W_Call incomplete files|suspend')))",224,906,303,729,2948,1439,8.490005755090735e-07
31,5,14,"(('exit', ('A_Incomplete', 'W_Call incomplete files|suspend')), ('exit', ('W_Call incomplete files|suspend', 'W_Call incomplete files|resume')), ('enter', ('W_Call incomplete files|resume', 'W_Call incomplete files|suspend')), ('enter', ('W_Call incomplete files|suspend', 'W_Call incomplete files|resume')), ('exit', ('W_Call incomplete files|resume', 'W_Call incomplete files|suspend')))",224,906,303,729,2948,1439,8.490005755090735e-07
32,5,14,"(('exit', ('A_Incomplete', 'W_Call incomplete files|suspend')), ('exit', ('W_Call incomplete files|suspend', 'W_Call incomplete files|resume')), ('exit', ('W_Call incomplete files|resume', 'W_Call incomplete files|suspend')), ('enter', ('W_Call incomplete files|suspend', 'W_Call incomplete files|resume')), ('enter', ('W_Call incomplete files|resume', 'W_Call incomplete files|suspend')))",224,906,303,729,2948,1439,8.490005755090735e-07
33,1,30,"(('enter', ('W_Validate application|suspend', 'W_Validate application|ate_abort')),)",371,1498,535,1762,4169,1206,0.0
34,7,12,"(('enter', ('W_Call incomplete files|schedule', 'W_Call incomplete files|start')), ('enter', ('W_Call incomplete files|start', 'A_Incomplete')), ('enter', ('A_Incomplete', 'W_Call incomplete files|suspend')), ('enter', ('W_Call incomplete files|suspend', 'W_Call incomplete files|resume')), ('enter', ('W_Call incomplete files|resume', 'W_Call incomplete files|suspend')), ('exit', ('W_Call incomplete files|suspend', 'W_Call incomplete files|resume')), ('exit', ('W_Call incomplete files|resume', 'W_Call incomplete files|suspend')))",201,800,258,738,2997,1471,1.643139964091489e-07
35,7,12,"(('enter', ('W_Call incomplete files|schedule', 'W_Call incomplete files|start')), ('enter', ('W_Call incomplete files|start', 'A_Incomplete')), ('enter', ('A_Incomplete', 'W_Call incomplete files|suspend')), ('enter', ('W_Call incomplete files|suspend', 'W_Call incomplete files|resume')), ('exit', ('W_Call incomplete files|resume', 'W_Call incomplete files|suspend')), ('exit', ('W_Call incomplete files|suspend', 'W_Call incomplete files|resume')), ('enter', ('W_Call incomplete files|resume', 'W_Call incomplete files|suspend')))",201,800,258,738,2997,1471,1.643139964091489e-07
36,7,12,"(('enter', ('W_Call incomplete files|schedule', 'W_Call incomplete files|start')), ('enter', ('W_Call incomplete files|start', 'A_Incomplete')), ('enter', ('A_Incomplete', 'W_Call incomplete files|suspend')), ('exit', ('W_Call incomplete files|suspend', 'W_Call incomplete files|resume')), ('enter', ('W_Call incomplete files|resume', 'W_Call incomplete files|suspend')), ('enter', ('W_Call incomplete files|suspend', 'W_Call incomplete files|resume')), ('exit', ('W_Call incomplete files|resume', 'W_Call incomplete files|suspend')))",201,800,258,738,2997,1471,1.643139964091489e-07
37,7,12,"(('enter', ('W_Call incomplete files|schedule', 'W_Call incomplete files|start')), ('enter', ('W_Call incomplete files|start', 'A_Incomplete')), ('enter', ('A_Incomplete', 'W_Call incomplete files|suspend')), ('exit', ('W_Call incomplete files|suspend', 'W_Call incomplete files|resume')), ('exit', ('W_Call incomplete files|resume', 'W_Call incomplete files|suspend')), ('enter', ('W_Call incomplete files|suspend', 'W_Call incomplete files|resume')), ('enter', ('W_Call incomplete files|resume', 'W_Call incomplete files|suspend')))",201,800,258,738,2997,1471,1.643139964091489e-07
38,7,12,"(('enter', ('W_Call incomplete files|schedule', 'W_Call incomplete files|start')), ('enter', ('W_Call incomplete files|start', 'A_Incomplete')), ('exit', ('A_Incomplete', 'W_Call incomplete files|suspend')), ('enter', ('W_Call incomplete files|suspend', 'W_Call incomplete files|resume')), ('enter', ('W_Call incomplete files|resume', 'W_Call incomplete files|suspend')), ('exit', ('W_Call incomplete files|suspend', 'W_Call incomplete files|resume')), ('exit', ('W_Call incomplete files|resume', 'W_Call incomplete files|suspend')))",201,800,258,738,2997,1471,1.643139964091489e-07
39,7,12,"(('enter', ('W_Call incomplete files|schedule', 'W_Call incomplete files|start')), ('enter', ('W_Call incomplete files|start', 'A_Incomplete')), ('exit', ('A_Incomplete', 'W_Call incomplete files|suspend')), ('enter', ('W_Call incomplete files|suspend', 'W_Call incomplete files|resume')), ('exit', ('W_Call incomplete files|resume', 'W_Call incomplete files|suspend')), ('exit', ('W_Call incomplete files|suspend', 'W_Call incomplete files|resume')), ('enter', ('W_Call incomplete files|resume', 'W_Call incomplete files|suspend')))",201,800,258,738,2997,1471,1.643139964091489e-07
40,7,12,"(('enter', ('W_Call incomplete files|schedule', 'W_Call incomplete files|start')), ('enter', ('W_Call incomplete files|start', 'A_Incomplete')), ('exit', ('A_Incomplete', 'W_Call incomplete files|suspend')), ('exit', ('W_Call incomplete files|suspend', 'W_Call incomplete files|resume')), ('enter', ('W_Call incomplete files|resume', 'W_Call incomplete files|suspend')), ('enter', ('W_Call incomplete files|suspend', 'W_Call incomplete files|resume')), ('exit', ('W_Call incomplete files|resume', 'W_Call incomplete files|suspend')))",201,800,258,738,2997,1471,1.643139964091489e-07
41,7,12,"(('enter', ('W_Call incomplete files|schedule', 'W_Call incomplete files|start')), ('enter', ('W_Call incomplete files|start', 'A_Incomplete')), ('exit', ('A_Incomplete', 'W_Call incomplete files|suspend')), ('exit', ('W_Call incomplete files|suspend', 'W_Call incomplete files|resume')), ('exit', ('W_Call incomplete files|resume', 'W_Call incomplete files|suspend')), ('enter', ('W_Call incomplete files|suspend', 'W_Call incomplete files|resume')), ('enter', ('W_Call incomplete files|resume', 'W_Call incomplete files|suspend')))",201,800,258,738,2997,1471,1.643139964091489e-07
42,7,12,"(('enter', ('W_Call incomplete files|schedule', 'W_Call incomplete files|start')), ('exit', ('W_Call incomplete files|start', 'A_Incomplete')), ('enter', ('A_Incomplete', 'W_Call incomplete files|suspend')), ('enter', ('W_Call incomplete files|suspend', 'W_Call incomplete files|resume')), ('enter', ('W_Call incomplete files|resume', 'W_Call incomplete files|suspend')), ('exit', ('W_Call incomplete files|suspend', 'W_Call incomplete files|resume')), ('exit', ('W_Call incomplete files|resume', 'W_Call incomplete files|suspend')))",201,800,258,738,2997,1471,1.643139964091489e-07
43,7,12,"(('enter', ('W_Call incomplete files|schedule', 'W_Call incomplete files|start')), ('exit', ('W_Call incomplete files|start', 'A_Incomplete')), ('enter', ('A_Incomplete', 'W_Call incomplete files|suspend')), ('enter', ('W_Call incomplete files|suspend', 'W_Call incomplete files|resume')), ('exit', ('W_Call incomplete files|resume', 'W_Call incomplete files|suspend')), ('exit', ('W_Call incomplete files|suspend', 'W_Call incomplete files|resume')), ('enter', ('W_Call incomplete files|resume', 'W_Call incomplete files|suspend')))",201,800,258,738,2997,1471,1.643139964091489e-07
44,7,12,"(('enter', ('W_Call incomplete files|schedule', 'W_Call incomplete files|start')), ('exit', ('W_Call incomplete files|start', 'A_Incomplete')), ('enter', ('A_Incomplete', 'W_Call incomplete files|suspend')), ('exit', ('W_Call incomplete files|suspend', 'W_Call incomplete files|resume')), ('enter', ('W_Call incomplete files|resume', 'W_Call incomplete files|suspend')), ('enter', ('W_Call incomplete files|suspend', 'W_Call incomplete files|resume')), ('exit', ('W_Call incomplete files|resume', 'W_Call incomplete files|suspend')))",201,800,258,738,2997,1471,1.643139964091489e-07
45,7,12,"(('enter', ('W_Call incomplete files|schedule', 'W_Call incomplete files|start')), ('exit', ('W_Call incomplete files|start', 'A_Incomplete')), ('enter', ('A_Incomplete', 'W_Call incomplete files|suspend')), ('exit', ('W_Call incomplete files|suspend', 'W_Call incomplete files|resume')), ('exit', ('W_Call incomplete files|resume', 'W_Call incomplete files|suspend')), ('enter', ('W_Call incomplete files|suspend', 'W_Call incomplete files|resume')), ('enter', ('W_Call incomplete files|resume', 'W_Call incomplete files|suspend')))",201,800,258,738,2997,1471,1.643139964091489e-07
46,7,12,"(('enter', ('W_Call incomplete files|schedule', 'W_Call incomplete files|start')), ('exit', ('W_Call incomplete files|start', 'A_Incomplete')), ('exit', ('A_Incomplete', 'W_Call incomplete files|suspend')), ('enter', ('W_Call incomplete files|suspend', 'W_Call incomplete files|resume')), ('enter', ('W_Call incomplete files|resume', 'W_Call incomplete files|suspend')), ('exit', ('W_Call incomplete files|suspend', 'W_Call incomplete files|resume')), ('exit', ('W_Call incomplete files|resume', 'W_Call incomplete files|suspend')))",201,800,258,738,2997,1471,1.643139964091489e-07
47,7,12,"(('enter', ('W_Call incomplete files|schedule', 'W_Call incomplete files|start')), ('exit', ('W_Call incomplete files|start', 'A_Incomplete')), ('exit', ('A_Incomplete', 'W_Call incomplete files|suspend')), ('enter', ('W_Call incomplete files|suspend', 'W_Call incomplete files|resume')), ('exit', ('W_Call incomplete files|resume', 'W_Call incomplete files|suspend')), ('exit', ('W_Call incomplete files|suspend', 'W_Call incomplete files|resume')), ('enter', ('W_Call incomplete files|resume', 'W_Call incomplete files|suspend')))",201,800,258,738,2997,1471,1.643139964091489e-07
48,7,12,"(('enter', ('W_Call incomplete files|schedule', 'W_Call incomplete files|start')), ('exit', ('W_Call incomplete files|start', 'A_Incomplete')), ('exit', ('A_Incomplete', 'W_Call incomplete files|suspend')), ('exit', ('W_Call incomplete files|suspend', 'W_Call incomplete files|resume')), ('enter', ('W_Call incomplete files|resume', 'W_Call incomplete files|suspend')), ('enter', ('W_Call incomplete files|suspend', 'W_Call incomplete files|resume')), ('exit', ('W_Call incomplete files|resume', 'W_Call incomplete files|suspend')))",201,800,258,738,2997,1471,1.643139964091489e-07
49,7,12,"(('enter', ('W_Call incomplete files|schedule', 'W_Call incomplete files|start')), ('exit', ('W_Call incomplete files|start', 'A_Incomplete')), ('exit', ('A_Incomplete', 'W_Call incomplete files|suspend')), ('exit', ('W_Call incomplete files|suspend', 'W_Call incomplete files|resume')), ('exit', ('W_Call incomplete files|resume', 'W_Call incomplete files|suspend')), ('enter', ('W_Call incomplete files|suspend', 'W_Call incomplete files|resume')), ('enter', ('W_Call incomplete files|resume', 'W_Call incomplete files|suspend')))",201,800,258,738,2997,1471,1.643139964091489e-07
50,1,54,"(('batch', ('A_Concept', 'W_Complete application|start')),)",436,1053,1009,2514,5079,4913,0.009636211280725782
51,1,290,"(('batch', ('W_Call after offers|suspend', 'W_Call after offers|ate_abort')),)",3340,4885,1473,2659,6869,1712,0.0
52,1,72,"(('batch', ('W_Call after offers|suspend', 'W_Call after offers|resume')),)",1349,3506,3177,2975,6784,6211,0.0021554758442819955
53,1,188,"(('batch', ('W_Call incomplete files|suspend', 'W_Call incomplete files|resume')),)",324,1708,966,2700,7037,1721,0.0
54,1,129,"(('batch', ('W_Call incomplete files|suspend', 'W_Call incomplete files|ate_abort')),)",501,1933,606,1439,4303,1260,6.065488119988416e-06
55,1,56,"(('delay', ('A_Concept', 'W_Complete application|start')),)",138,573,540,2812,5559,5382,9.547918011776346e-15
56,1,66,"(('delay', ('W_Validate application|suspend', 'W_Validate application|resume')),)",101,917,267,2588,6015,1581,0.0
57,2,10,"(('batch', ('W_Validate application|suspend', 'W_Validate application|resume')), ('workload', ('W_Validate application|resume', 'W_Validate application|suspend')))",85,332,89,2174,5552,1462,0.0017810421059764048
58,4,10,"(('batch', ('W_Call after offers|suspend', 'W_Call after offers|resume')), ('enter', ('W_Call after offers|resume', 'W_Call after offers|suspend')), ('exit', ('W_Call after offers|suspend', 'W_Call after offers|resume')), ('exit', ('W_Call after offers|resume', 'W_Call after offers|suspend')))",232,554,443,328,911,947,5.6871735410357616e-05
59,4,10,"(('batch', ('W_Call after offers|suspend', 'W_Call after offers|resume')), ('exit', ('W_Call after offers|resume', 'W_Call after offers|suspend')), ('exit', ('W_Call after offers|suspend', 'W_Call after offers|resume')), ('enter', ('W_Call after offers|resume', 'W_Call after offers|suspend')))",232,554,443,328,911,947,5.6871735410357616e-05
60,1,72,"(('batch', ('W_Validate application|suspend', 'W_Validate application|ate_abort')),)",346,1244,410,1787,4423,1331,2.8953339725745764e-09
61,1,34,"(('delay', ('W_Validate application|suspend', 'W_Validate application|ate_abort')),)",25,359,131,2108,5308,1610,0.0
62,4,25,"(('enter', ('W_Call incomplete files|suspend', 'W_Call incomplete files|resume')), ('enter', ('W_Call incomplete files|resume', 'W_Call incomplete files|suspend')), ('exit', ('W_Call incomplete files|suspend', 'W_Call incomplete files|resume')), ('exit', ('W_Call incomplete files|resume', 'W_Call incomplete files|suspend')))",384,1661,802,688,2671,1147,0.011649571758945765
